geo,name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
brn,Brunei,,,,,,,,,,,,,,,0.17571,0.20084,0.15583,0.13612,0.13756,0.09742,0.05157,0.06954,0.11103,0.13578,0.13844,0.16698,0.34278,0.39046,0.52494,0.57805,0.57469,0.59098,0.64546,0.74487,0.85625,0.72596,0.89247,0.94362,1.15035,1.08056,1.06879,1.18819,1.15449,1.23726,1.17049,0.97461,0.75474,0.72634,0.69217,0.97992,0.73335,0.57278,0.65516,0.68494,0.86283,1.10321,1.20365,1.08645,1.01764,0.98606,1.2175,1.25629,1.09616,1.17312,1.17724
btn,Bhutan,,,,,,,,,,,,,,,,,,,,,39.82935,37.61807,38.33847,38.10903,38.46886,39.4862,38.28658,33.01187,34.84719,32.41396,31.61073,30.16669,30.493,28.59046,30.39006,27.84783,27.17743,27.29148,25.83868,24.13997,21.6206,20.88359,20.81998,19.78684,19.37851,18.03393,17.3413,14.90624,14.48769,14.00545,12.41286,11.79963,11.57299,11.85263,12.06378,11.99507,12.00237,12.92979,13.55092,12.93395,15.70308,15.79478,14.67101,14.96154,
bwa,Botswana,43.22296,41.9259,40.67605,39.72679,38.57225,33.84146,39.29539,41.26089,43.68421,38.70387,32.99492,32.98458,33.00551,33.0776,31.78649,27.54616,24.6677,22.60355,18.43747,14.47172,12.7039,12.37062,10.27224,7.97138,6.89302,5.92187,5.28679,6.24489,5.63195,4.69699,4.52615,4.3769,4.63279,4.52119,3.75614,4.63772,3.69099,3.54271,3.16686,2.99077,2.7947,2.59029,2.42562,2.72239,2.25959,1.82838,1.73894,1.92668,2.14007,2.37598,2.09104,2.11892,2.31481,1.99354,1.8196,1.94776,1.97589,1.84199,2.11731,2.08343,2.20807,1.78859,1.57979,1.66462,1.71228
caf,Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.33387,37.36358,37.56902,36.81417,32.25891,33.98562,31.52738,31.91899,32.79017,31.24133,28.34183,29.49594,35.75533,36.21711,28.61106,32.4962
can,Canada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1395,2.16737,2.19621,2.09165,2.11789,1.98762,2.05309,2.16781,1.88031,1.70102,1.58716,1.76827,1.54989,1.49324,1.76566,1.81135,1.89423,1.58655,1.86984,1.86223,1.88999,1.69989,1.69708,1.83979,1.59799,,,
che,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.10986,1.9804,1.81098,1.65702,1.5206,1.39878,1.21981,1.24519,1.17193,1.09235,1.05389,0.92092,0.93366,0.83699,0.935,0.81862,0.7533,0.77316,0.78353,0.72251,0.66294,0.6767,0.63459,0.66253,0.70888,0.62645,0.65801,0.63133,0.64375,0.64775,0.70548,0.62757,0.61638,0.62491,0.6287
chl,Chile,10.25192,9.85867,8.98697,7.78281,8.41728,8.7396,9.14527,8.50134,7.57659,6.78133,6.69575,8.011,8.14912,6.50539,5.56041,6.42234,8.29058,9.61904,7.4239,7.12394,7.09043,6.34141,6.2303,5.81117,7.03813,7.37883,8.43538,8.65561,8.43889,8.25944,8.16488,9.16273,9.08923,7.92948,7.44478,6.9674,5.01956,5.00655,5.39423,5.29404,5.08296,4.06242,4.06503,4.09478,3.75827,3.92221,3.71205,3.55057,3.42443,3.69713,3.47828,3.62618,3.27493,3.47338,3.94662,3.7094,4.19909,4.28097,3.92744,3.98781,4.04543,3.50586,3.23468,3.49023,3.91236
chn,China,23.12496,35.71949,38.90272,39.77136,37.95749,37.47985,37.11416,39.73517,41.56461,37.45231,34.74205,33.57851,32.36456,32.87329,33.37335,31.90224,32.30559,28.94268,27.6396,30.65285,29.58159,31.25942,32.72328,32.50563,31.47959,27.88241,26.58969,26.27449,25.19451,24.56828,26.53267,23.96299,21.24989,19.22852,19.38471,19.49814,19.21925,17.78152,17.02546,15.92159,14.52725,13.82211,13.12949,12.17576,12.72884,11.48281,10.47586,10.09342,10.00998,9.473,9.1665,9.03385,8.96506,8.78442,8.48243,8.22401,7.90065,7.32839,6.91714,7.00622,7.54018,7.08935,7.14789,6.88952,6.776
civ,Cote d'Ivoire,47.90792,46.40683,45.90405,44.1671,39.80136,39.61846,37.44038,34.75976,35.56116,33.5688,31.86677,30.88033,29.80047,31.0499,25.46685,28.24446,24.47935,24.26585,25.88064,26.40239,25.88027,26.534,24.12531,21.88196,24.13447,26.53758,28.46154,29.18235,32.03932,32.71644,32.49843,33.29394,34.00969,28.21521,25.26363,24.72761,16.52673,15.1463,15.54162,15.21777,16.19515,17.2771,18.73731,20.77602,16.64002,16.06519,15.94479,15.57875,16.18548,15.24958,17.48892,18.48667,16.37515,15.3429,15.24176,18.36204,17.43497,16.94099,17.8526,15.68821,16.93342,16.18055,16.58433,15.20475,17.92266
cmr,Cameroon,,,,,,32.73183,31.85079,31.1333,31.50579,30.72351,31.36392,31.00413,31.96497,30.79283,29.53977,29.11971,27.61011,33.64508,31.35335,30.8236,28.67678,27.17658,27.00575,23.19328,21.97183,20.59053,21.62963,23.98644,23.94243,25.50676,23.99487,24.25903,26.57967,18.23673,19.60975,19.14485,18.32232,18.96789,19.001,18.97879,18.11774,18.62096,18.27168,17.47378,17.56095,16.73418,15.62508,15.85753,16.00119,16.38719,17.26971,16.69739,16.65724,16.72366,16.82584,17.20942,17.19266,16.69294,16.4988,16.80228,17.49687,16.9592,16.54616,17.29494,17.44211
cod,"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.54403,56.54399,33.26198,47.5,46.49997,52.36616,31.97236,32.8709,26.58378,26.05384,23.87936,21.57938,21.21006,21.60221,22.61868,23.67467,21.42849,20.91708,20.44106,19.31667,18.56252,18.37039,18.59975,19.7027,18.88734,19.43499,20.88342,19.04363,17.73548,17.43982,17.09456
cog,"Congo, Rep.",23.60046,20.4918,19.80472,20.95408,21.10971,19.1358,19.18819,19.86302,19.61415,17.70683,17.89474,17.13641,16.42512,15.72848,15.1171,14.47689,13.47754,15.42553,16.03631,14.31373,11.68147,7.88259,7.85915,7.58258,6.91705,7.44744,12.0897,11.93729,13.86707,12.93454,12.86089,11.31781,11.52756,11.24852,10.31394,10.45257,8.98669,9.13919,10.95557,8.35576,5.30425,5.79993,6.26158,6.27522,5.50941,6.10424,4.81315,4.91981,4.24815,5.27993,4.03853,3.98394,3.79877,4.26008,4.55765,5.81059,6.76365,7.30994,6.78839,7.34699,10.69042,9.09675,8.04191,8.95212,9.44034
col,Colombia,,,,,,27.2864,26.60845,26.89222,26.85938,25.86728,25.08737,23.51911,24.1306,24.12897,24.3821,23.88647,23.62861,25.04703,23.04046,21.46588,19.3599,19.24774,18.76512,18.7139,17.40893,16.99069,17.47693,18.06374,16.74929,16.05719,17.06678,17.4548,16.79394,14.96783,14.83154,14.01807,12.76882,12.60647,13.23579,13.00077,8.30572,8.32097,8.51001,8.32877,7.91098,7.52727,7.18677,6.93456,6.68738,6.68974,6.32485,6.0917,5.58269,5.39271,5.44696,5.98042,6.60641,6.38966,6.22571,6.41072,7.50848,7.77187,8.83154,8.80792,9.26822
com,Comoros,,,,,,,,,,,,,,,,,,,,,29.37529,29.37549,29.37684,29.37551,29.37649,29.37622,29.37623,29.37656,29.37598,29.37585,29.37591,29.37656,29.37654,29.37585,29.37627,29.37647,29.37611,29.376,29.37584,29.37636,29.37632,29.37629,29.37601,29.37613,29.37602,29.37627,29.37634,28.95665,29.13892,30.03301,30.41598,30.56427,30.17309,30.78986,30.01145,30.59863,31.36847,31.89889,33.72015,35.6201,35.7974,35.24095,35.16432,35.94277,36.6265
